Name	Target	ID
SU-11652	KDR, PDGFRB, CAMK1G, FGF2, FGFR1, FLT1, KIT, PDGFRA	BRD-K60623809
PD-184352	MAP2K1, MAP2K2, MAP3K1, MAP3K2	BRD-K05104363
PSB-06126	ENTPD3	BRD-K71266197
HC-toxin	HDAC1	BRD-A39646320
metformin	ACACB, INS, PRKAB1	BRD-K79602928
rolitetracycline		BRD-A27489425
auranofin	IKBKB, PRDX5, TRPA1, TXNRD1, TXNRD2	BRD-A79465854
TWS-119	GSK3B, JUN, MYC	BRD-K94176593
AG-14361	PARP1	BRD-K00615600
balsalazide	PTGS1, PTGS2, ALOX5, PPARG	BRD-K41410256
palbociclib	CDK4, CDK6, CCND3	BRD-K51313569
KIN001-055	EGFR, JAK3	BRD-K68407802
trichostatin-a	HDAC7, HDAC8, HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC9	BRD-K68202742
nobiletin	ABCB1, MAP2K1, TYR	BRD-K06753942
SB-202190	MAPK14, AKT1, ALOX5, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK8, PRKCA, ROCK1, RPS6KB1, SGK1	BRD-K54330070
olopatadine	HRH1, S100A1, S100A12, S100A13, S100A2, S100B	BRD-K67637637
fluperlapine	DRD2, HTR2A, HTR6, HTR7	BRD-K15715913
ricinine		BRD-K82561139
GSK-0660	PPARD	BRD-K98684188
AMG-9810	TRPV1	BRD-K43068349
CGS-12066B	HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C	BRD-K18909381
selinidin		BRD-K07212038
thiostrepton	FOXM1	BRD-A20697603
belinostat	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K17743125
kawain	MTOR	BRD-K09497549
alvespimycin	HSP90AA1	BRD-K83988098
cotinine		BRD-K94144010
methyl-angolensate	HTR2B	BRD-A32349859
pramipexole	DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C	BRD-K06388322
GDC-0941	PIK3CG, PIK3CA, PIK3CB, PIK3CD	BRD-K52911425
gefitinib	EGFR, CYP2C19	BRD-K64052750
carbidopa	DDC	BRD-A69512159
givinostat	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	BRD-K13810148
BMS-536924	IGF1R, AKT1, CCNE1, CDK2, CYP3A4, ERBB2, INSR, KDR, LCK, MAPK1, MET, PDGFRA, PDGFRB	BRD-K34581968
parecoxib	LTF, PTGS2	BRD-K13800121
piperlongumine		BRD-K24132293
purvalanol-a	CDK1, CDK2, CDK4, CDK5, CCND1, CCNE1, CSNK1G3, RPS6KA1, SRC	BRD-K50836978
JAK3-inhibitor-VI	JAK3	BRD-K04546108
cymarin	ATP1A1	BRD-A71459254
ellipticine	TOP2A, TOP2B	BRD-K85985071
pancuronium	CHRM2, CHRM3, CHRNA1, CHRNA2	BRD-A84134924
mycophenolate-mofetil	IMPDH1, IMPDH2, HCAR2	BRD-K92428153
dosulepin	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1	BRD-K54759182
naringenin	CYP19A1, ESR2, CYP1B1, GLO1, HSD17B1	BRD-A94669766
erythromycin	CYP3A4, MLNR	BRD-K51677086
PI-828		BRD-K97365803
mefenamic-acid	PTGS2, PTGS1, KCNQ1, TRPM3	BRD-K92778217
CGP-57380	AURKB, LCK, MKNK1, MKNK2, SGK1	BRD-K42500029
cimetidine	HRH2, SLC29A4, SLC47A1, SLC47A2	BRD-K18618618
PSB-069	ENTPD1, ENTPD2, ENTPD3	BRD-K79366068
gamma-linolenic-acid	TBXAS1	BRD-K18059238
nitazoxanide		BRD-K96471533
nicorandil	ABCC9, KCNJ11, KCNJ8	BRD-K97752965
nisoldipine	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5	BRD-A96107863
nisoxetine	SLC6A2, SLC6A3, SLC6A4	BRD-A95696066
oxyphenonium	CHRM1	BRD-A14208071
flurbiprofen	PTGS1, PTGS2	BRD-A86044036
DAU-5884	CHRM1, CHRM3	BRD-K31633810
KIN001-244	PDPK1	BRD-K09186807
ticlopidine	P2RY12, CYP2B6, CYP2C19	BRD-K00603606
bifemelane	SLC6A2	BRD-K18779551
artemether	ATP1A1, CYP2B6, CYP2C19, CYP3A5	BRD-K39621635
benzatropine	CHRM1, HRH1, SLC6A3	BRD-A25067867
JAK3-inhibitor-V	JAK3	BRD-K95676198
CS-110266	SLC6A3	BRD-K15519488
VAMA-37	PRKDC	BRD-K51018020
Y-26763	ABCC9, KCNJ8	BRD-K45117373
WT-171	HDAC6	BRD-K74761218
E-4031	KCNH2, KCNH1	BRD-K41713976
nefopam		BRD-A78877355
amoxicillin	SLC15A1	BRD-K55044200
scriptaid	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K22503835
moclobemide	MAOA, CYP2C19, MAOB	BRD-K07237224
THM-I-94	HDAC1, HDAC10, HDAC2, HDAC3, HDAC6, HDAC8	BRD-K12867552
AS-605240	MAOB, PIK3CA, PIK3CB, PIK3CD, PIK3CG	BRD-K41895714
BX-912	PDPK1, AKT2, CDK2, CHEK1, GSK3B, KDR, PDK1	BRD-K49669041
cabergoline	DRD2, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1B, ADRA1D, ADRB1, ADRB2, HTR7, PRL	BRD-A63043573
urapidil	HTR1A	BRD-K73196317
SEW-2871	S1PR1	BRD-K15601958
ascorbic-acid	AKR1B1	BRD-A79237180
xanthinol		BRD-A01826957
NNC-05-2090	SLC6A11, SLC6A12, SLC6A13	BRD-K85015012
telmisartan	AGTR1, PPARG, CYP2C19, CYP2J2, PPARA	BRD-K73999723
tibolone	AR, ESR1, PGR, STS	BRD-K10467831
homoveratrylamine		BRD-K59570838
doxepin	HRH1, HRH2, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, KCNH2, SLC6A3	BRD-K36616567
ezetimibe	NPC1L1, ANPEP, SOAT1	BRD-A41519720
apigenin	AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1A2, CYP1B1, HSD17B1, MAOA, ODC1, XDH	BRD-K01493881
rhamnetin	ALOX5, MAPK8	BRD-K37206356
GW-501516	PPARD, INS, PPARA	BRD-K14880289
acamprosate	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5	BRD-M41783010
hexylcaine	SCN5A, SCN10A	BRD-A97730597
gatifloxacin		BRD-A74980173
oxaprozin	PTGS1, PTGS2	BRD-K25394294
XL-147	PIK3CA, PIK3CD, PIK3CG	BRD-K95901403
dihydrexidine	DRD1, DRD2, DRD3, DRD4, DRD5	BRD-K31471398
modafinil	ADRA1B, CYP1A2, CYP2B6, CYP2C19, CYP3A4, CYP3A5, SLC6A3	BRD-A16332958
granisetron	HTR3A, CYP3A5	BRD-K10860596
galantamine	ACHE, BCHE, CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG	BRD-K49481516
mafenide	CA6, CA12, CA14, CA2, CA4, CA9	BRD-K30649484
PP-2	SRC, LCK, ABL1, LYN, RIPK2	BRD-K95785537
CP-724714	ERBB2	BRD-K76908866
EI-231	CSNK2A1, CSNK2A2, CSNK2B	BRD-A74904029
nalbuphine	OPRD1, OPRK1, OPRM1	BRD-A16934955
mepivacaine	SCN10A, SCN9A	BRD-A03216249
RO-16-6941		BRD-K44899736
tramadol	OPRM1, SLC6A2, SLC6A4, CHRFAM7A, CHRM3, CYP2B6, GRIN3A, HTR2C, OPRD1, OPRK1	BRD-K04412738
TFMPP		BRD-K94887716
U-0126	AKT1, CHEK1, GSK3B, JAK2, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	BRD-K18787491
TCB2	HTR2A	BRD-A31195449
pitavastatin	HMGCR, APOA1, CYP2C8	BRD-K30097969
cefalexin		BRD-K90733503
tinidazole		BRD-K89125793
HG-6-64-01	ABL1, BRAF, CSF1R, EGFR, FGFR1, FLT3, KIT, MAPK11, PDGFRB, RET	BRD-U37049823
tivozanib	FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB	BRD-K53414658
KI-16425	LPAR1, LPAR3	BRD-A25569250
trimidox	RRM1	BRD-K11801786
cephalosporanic-acid		BRD-A79314293
nicotinamide	PARP1, AOX1, BST1, CYP2E1, LDHA, SIRT5	BRD-K28912512
SB-203580	MAPK14, MAPK1, MAPK11, AKT1, ALOX5, CHEK1, CYP2D6, CYP3A4, GAK, GSK3B, LCK, MAPK10, MAPK12, MAPK8, MAPK9, PRKCA, RAF1, RIPK2, ROCK1, RPS6KB1, SGK1, SRC, TNF	BRD-K99291625
fluoxetine	SLC6A4, ANO1, CYP2C19, HTR2B	BRD-A31159102
farnesylthiotriazole		BRD-K96402602
YM-90709	CSF2RB, IL5RA	BRD-K06712146
methapyrilene		BRD-K47323024
mesalazine	PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1	BRD-K28849549
pyrazolanthrone	MAPK10, MAPK8, MAPK9, TTK, LRRK2, MAPK8IP1	BRD-K01567962
nafcillin	CYP3A4	BRD-K18574842
targinine	NOS2, NOS3	BRD-K22227508
fenbufen	PTGS1, PTGS2	BRD-K12513978
PIK-90		BRD-K99818283
SB-218078	CHEK1	BRD-A06352508
SCH-23390	DRD1, DRD5, HTR2C, KCNJ4, KCNJ6	BRD-K45435259
nafadotride	DRD3, DRD2, HTR1A	BRD-A71262238
LY-165163	HTR1A, HTR1D	BRD-K14282469
NU-7026	PRKDC	BRD-K09537769
RO-04-5595		BRD-A63546914
erismodegib	SMO	BRD-K19796430
PD-0325901	MAP2K1, MAP2K2	BRD-K49865102
oxcarbazepine	CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A	BRD-K04196797
enrofloxacin		BRD-K76534306
azelastine	HRH1, CYP2C19	BRD-A68888262
diphenhydramine	HRH1	BRD-K47278471
SB-205607	OPRD1, OPRK1, OPRM1	BRD-K22878149
indinavir	CYP3A5	BRD-K33226500
WZ-3146	EGFR	BRD-K73293050
selumetinib	MAP2K1, MAP2K2	BRD-K57080016
JWH-015	CNR2, GPR55	BRD-K17796732
aripiprazole	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7	BRD-K70358946
clomipramine	SLC6A4, SLC6A2, CYP2C19, GSTP1, HTR2A, HTR2B, HTR2C, SLC6A3	BRD-K52989797
NVP-TAE684	ALK, INSR	BRD-K50140147
aminoindazole		BRD-K51066026
Ro-04-6790	HTR6	BRD-K43290182
tyrphostin-AG-494	EGFR	BRD-K34533029
lofexidine	ADRA2A	BRD-A02990301
oxiconazole		BRD-K23369905
dacinostat	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K56957086
tizanidine	ADRA2A, ADRA2B, ADRA2C, CYP1A2, NISCH	BRD-K06335600
cortisone	NR3C1	BRD-K43736954
CAY-10577		BRD-K32836707
cirazoline	ADRA1A	BRD-K54142781
mestinon	ACHE, BCHE	BRD-K69688083
LY-364947	TGFBR1	BRD-K06234293
dehydrocholic-acid		BRD-A64125466
genipin		BRD-A04308630
skimmianine		BRD-K25741894
bongkrek-acid	SLC25A4	BRD-A41301928
sulconazole		BRD-A70649075
stavudine		BRD-K93880783
aristolochic-acid		BRD-K17110974
EO-1428	MAPK11, MAPK14	BRD-K42452249
OSI-027	MTOR	BRD-K94294671
diflunisal	PTGS2, PTGS1	BRD-K22031190
levofloxacin	TOP2A	BRD-K09471561
phenylbutazone	PTGS2, PTGS1, PTGIS	BRD-K10843433
KU-0060648	PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC	BRD-K09499853
CAM-9-026		BRD-K91442916
dipropyl-5ct	HTR1B, HTR1D, HTR1F, HTR7	BRD-K32645441
saracatinib	SRC, ABL1, LCK, YES1	BRD-K19540840
SB-205384	GABRA3, GABRA5, GABRA6	BRD-A22707317
JNJ-38877605	MET	BRD-K02123250
riboflavin		BRD-K92760278
ampiroxicam	PTGS1, PTGS2	BRD-A39172021
U-99194	DRD3	BRD-K70281171
prothionamide		BRD-K97863768
buflomedil	CACNA1C	BRD-K19462402
SIB-1757	GRM5	BRD-K98157055
mevastatin	HMGCR	BRD-K94441233
sirolimus	MTOR, FKBP1A, CCR5, FGF2	BRD-K89626439
DMP-543		BRD-K89274813
L-655240	PTGES	BRD-K89402695
diclofenamide	CA1, CA2, CA4, CA12, CA7	BRD-K71499074
CAY-10585	HIF1A	BRD-K88551539
RO-3306	CDK1	BRD-K78373679
benactyzine		BRD-K85030058
EI-247	INSR	BRD-K32710582
saquinavir	CYP3A4, CYP3A5	BRD-K09963420
donepezil	ACHE, HTR2A	BRD-A49160188
bethanechol	CHRM2, CHRM1, CHRM3, CHRM4	BRD-A99833829
LY-16350	DRD2, DRD3	BRD-K13261168
methotrexate	DHFR, AOX1, FOLR1, TYMS	BRD-K59456551
dasatinib	ABL1, FYN, LCK, SRC, KIT, YES1, BCR, EPHA2, LYN, PDGFRB, ABL2, BTK, DDR1, DDR2, PDGFRA, STAT5B	BRD-K49328571
dibenzepin		BRD-K79145749
baeomycesic-acid		BRD-K40742111
rimcazole	SIGMAR1	BRD-K70490179
estradiol-cypionate	ESR1	BRD-A91452556
amodiaquine	HNMT, CYP2C8	BRD-K91290917
bumetanide	SLC12A1, SLC12A2, CFTR, GPR35, SLC12A4, SLC12A5	BRD-K38197229
glycodeoxycholic-acid		BRD-A73859745
amitriptyline	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HTR6, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1	BRD-K53737926
dextrorphan	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2	BRD-K88304388
dexamethasone	ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2	BRD-A93424738
WAY-170523	MMP13	BRD-K36198571
sibutramine	SLC6A2, SLC6A4, SLC6A3, CYP2B6, CYP2C19, CYP3A5	BRD-A23359898
clemastine	HRH1	BRD-K30240666
metaxalone		BRD-A94709349
GBR-12935	AGTR1, SLC6A3	BRD-K50135270
cosmosiin		BRD-K13642330
WZ-4002	EGFR, ERBB2	BRD-K72420232
fananserin	HTR2A, DRD4	BRD-K08998509
naloxone	OPRM1, OPRK1, OPRD1, CREB1, ESR1, TLR4	BRD-A41833852
CCMQ		BRD-K06159959
temsirolimus	MTOR, PTEN	BRD-A62025033
D-64406	FLT3, PDGFRA, PDGFRB	BRD-K27665173
bosutinib	ABL1, SRC, BCR, CAMK2G, LYN, CAMK1D, CDK2, FRK, FYN, HCK, MAP2K1, MAP2K2, MAP3K2, MAP4K5, STK10, STK24, STK4, TNK2, TXK	BRD-K99964838
ketotifen	HRH1, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B, PDE8A, PDE8B, PGD	BRD-K28936863
RG-14620	EGFR	BRD-K21853356
APHA-compound-8	HDAC8	BRD-K74733595
phenolphthalein		BRD-K19227686
byssochlamic-acid		BRD-K43468059
XMD-1150	LRRK2	BRD-K01436366
bisphenol-a	AR, ESR2, ESRRG, PPARG	BRD-A16694057
clarithromycin	CYP2C19, CYP3A4, CYP3A5, CYP3A7	BRD-K49668410
ranitidine	HRH2, SLC22A2	BRD-K70505054
SB-334867	HCRTR1, HCRTR2	BRD-K41567364
propentofylline	ACHE	BRD-K59273480
halometasone	NR3C1	BRD-K33312228
mosapride	HTR4, HTR3A	BRD-A39052811
prometon		BRD-K99029477
floxuridine	TYMS	BRD-A80638690
latrunculin-b	ACTA1, MKL1, SPIRE2	BRD-A19248578
homatropine	CES1, CHRM1	BRD-A09539288
SCH-442416	ADORA1, ADORA2A, ADORA2B, ADORA3	BRD-K46469693
CO-102862	SCN2A, SCN4A, SCN9A	BRD-K08890269
KB-R7943	SLC8A1, TRPC3, TRPC5, TRPC6	BRD-K17743697
spironolactone	NR3C2, AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, KCNA5, KCND3, NR3C1, PGR, SCNN1A, SHBG	BRD-K90027355
PI-103	PIK3CA, PIK3CG, MTOR, PIK3CB, PIK3CD, PRKDC	BRD-K67868012
RK-682	HPSE, PTPN1	BRD-A77349281
acadesine		BRD-A95696820
clopidogrel	P2RY12, CYP2B6, CYP2C19, CYP3A5	BRD-K27721098
valaciclovir		BRD-K46435977
somatostatin	SSTR1, SSTR2, SSTR3, SSTR4, SSTR5, GH1, GHR, OPRD1, OPRM1	BRD-K14681867
LY-294002	MTOR, PIK3CD, PIK3CG, PIK3CA, PIK3CB, PLK1, PRKDC, AKT1, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PDE2A, PRKCA, ROCK1, RPS6KB1, SGK1	BRD-K27305650
fluocinolone	NR3C1, SERPINA6	BRD-K94353609
AMN-082	GRM7	BRD-K23335153
bemegride	GABRA1	BRD-K14993104
bisbenzimide	BCL2L1, TOP1	BRD-K08554278
cytarabine	POLB, POLA1	BRD-K33106058
prednisolone	NR3C1, NR3C2, SERPINA6	BRD-A01643550
rufloxacin		BRD-K62374253
benzopurpurin-4b		BRD-K14221570
clotrimazole	KCNN4, CYP3A4, CYP51A1, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8	BRD-K15916496
lidoflazine	SCN1A, SCN3A, SLC29A1	BRD-K62996583
oxfendazole		BRD-A33447119
isoreserpine	SLC18A2, SLC18A1, SIAH1	BRD-K37080523
JWE-035	AURKA	BRD-K83972459
PLX-4720	BRAF, KDR	BRD-K16478699
ZD-7114	ADRB3	BRD-K45296539
xaliproden	HTR1A	BRD-K88358234
XMD-892	MAPK7, DCLK2, LRRK2, PLK4, TNK1	BRD-K50387473
WZ-4-145	CSF1R, DDR1, EGFR, PDGFRA, TIE1	BRD-U25771771
sorafenib	RET, BRAF, FLT3, KDR, RAF1, FLT1, FLT4, KIT, DDR2, FGFR1, PDGFRB, CYP2B6, CYP2C8, CYP3A5, PDGFB, SLCO1B3	BRD-K49810818
paroxetine	SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2	BRD-K37991163
CPCCOEt	GRM1	BRD-A18202423
noretynodrel	PGR	BRD-A00758722
edrophonium	ACHE, BCHE	BRD-K81128206
papaverine	PDE10A, PDE4B, PDE5A	BRD-K15567136
epicatechin	FASN, APP, BACE1, SLC5A1	BRD-K50660797
PETCM	CASP3	BRD-A93477898
vorinostat	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11, HDAC5, HDAC9	BRD-K81418486
varenicline	CHRNA4, CHRNA3, CHRNA6, CHRNA7, CHRNB2	BRD-K18855837
met-leu-phe		BRD-A02189320
metergoline	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	BRD-A30435184
DUP-697	PTGS2	BRD-K06221026
PQ-401	IGF1R	BRD-K67537649
triamcinolone	NR3C1, CYP3A5, CYP3A7, SERPINA6	BRD-K53790871
JTE-013	S1PR2, P2RY10	BRD-K43330982
honokiol	ALOX5, PTGS1, PTGS2	BRD-K98493452
ergocryptine		BRD-K74212935
SKF-77434	DRD1	BRD-A64227845
penciclovir		BRD-K47780086
irinotecan	TOP1, CYP3A5, TOP1MT	BRD-K08547377
cilnidipine	CACNA1B, CACNA1C	BRD-A07875874
loxoprofen	PTGS2	BRD-A43082555
selamectin		BRD-A58564983
propafenone	KCNH2, SCN5A, ADRB1, ADRB2, KCNA5, KCNK2, KCNK3	BRD-A26334849
CP-93129	HTR1A, HTR1B	BRD-K81876028
roscovitine	CDK2, CDK9, CDK7, CDK1, CDK5	BRD-K07691486
olmesartan	AGTR1	BRD-K78485176
chaetocin	EHMT2, SUV39H1	BRD-A85860691
SB-590885	BRAF	BRD-K01253243
chlorprothixene	DRD2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, HRH1, HTR2A, HTR2B, HTR2C	BRD-K59058766
diclofenac	PTGS1, PTGS2, AKR1C3, ALOX5, ASIC1, ASIC3, CYP2C8, KCNQ2, KCNQ3, PLA2G2A, PPARG, SCN4A	BRD-K08252256
ZSTK-474	PIK3CG, PIK3CA, PIK3CB, PIK3CD	BRD-K63068307
ambroxol	GBA	BRD-K56558538
6-aminochrysene		BRD-K00656370
tetramethylsilane		BRD-K45988865
sulfasalazine	PTGS1, PTGS2, ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, SLC46A1, SLC7A11, TBXAS1	BRD-K10670311
benzonatate	SCN5A	BRD-K91699951
cyproterone	AR, ADORA1, ESR1	BRD-A39290993
doxazosin	ADRA1D, ADRA1A, ADRA1B, CYP2C19, KCNH2, KCNH6, KCNH7	BRD-A13188892
herniarin	ACHE, CA1, CA12, CA14, CA4, CA6, CA9	BRD-K81209159
desoximetasone	NR3C1, PLA2G1B	BRD-K30697463
IKK-16	IKBKB	BRD-K14618467
acyclovir	PNP	BRD-K32318651
DR-2313	PARP1, PARP3	BRD-K94920105
ryuvidine	CDK4, CDK2	BRD-K06426971
pirenzepine	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	BRD-K89375097
erbstatin-analog	EGFR	BRD-K35573744
methysergide	HTR2C, HTR1B, HTR1E, HTR1F, HTR2A, HTR2B, HTR7, HTR1A, HTR1D, HTR5A, HTR6	BRD-K35941380
BMS-299897		BRD-K02950022
